outcome,delta_vs_e95_lo_exclusive,delta_vs_e95_hi_inclusive,public_lb_lo_exclusive,public_lb_hi_inclusive,beats_e95,beats_e101,beats_mixmin,beats_e176,world_update_class,hidden_world_update,next_action,candidate_to_test,forbidden_action,strengthened,weakened
broad_breakthrough,-inf,-3e-05,-inf,0.5762613298,True,True,True,True,strong_support,E166 wins beyond the normal post-E95 edge scale. The public hidden labels reward broad survivor context that earlier safety atlases treated as dangerous.,Promote broad survivor structure as a live hidden-world target. Do an exact E166 component/block attribution before scaling or submitting any E166-family sibling.,conditional:e166_component_block_attribution,Do not scale E166 up from a single win; E167 already says this branch is safety-atlas divergent.,broad survivor / safety-atlas-overconservative world; subject-calendar edge context,E72/E101/E176/E216-derived veto atlas as a hard rejection rule
clean_win,-3e-05,-1.5310700000048527e-05,0.5762613298,0.5762760190999999,True,True,True,True,support,"E166 beats E95 by at least the E95-over-mixmin edge. Broad survivor context is public-readable, but still at frontier hard-label scale.",Use E166 as the new broad-world anchor and audit whether the top benefit cells are between-train-runs or S-stage driven.,conditional:e166_context_component_attribution,Do not jump to E169/E176 siblings; E176 already branch-lost and E166 asks a different raw broad-survivor question.,E166 context-real broad branch,repaired-branch-only next-action policy
micro_win,-1.5310700000048527e-05,-3e-06,0.5762760190999999,0.5762883298,True,True,True,True,weak_support,"E166 is public-positive but only at one/few-cell scale. The broad branch may be real, but the public score does not yet identify the safe substructure.",Keep E166 alive. Decode exact cells and compare against E167 top-benefit context before any same-family file.,conditional:e166_exact_cell_decoder,Do not treat a micro-win as evidence that broad survivor amplitude should increase.,broad branch not dead,claim that E166 is a 0.54-path breakthrough
tie,-3e-06,3e-06,0.5762883298,0.5762943298,False,True,True,True,underresolved,E166 does not separate from E95. The context-real signal and safety-atlas divergence balance at public resolution.,"Keep E95 practical. Prefer E224 if the next question is JEPA, or E154 if the next question is the conservative branch.",conditional:e224_or_e154_by_question,Do not select an E166 sibling from a tie.,plateau hard-label-resolution law,E166 expected-score claim
small_loss,3e-06,9.036200000034356e-06,0.5762943298,0.576300366,False,False,True,True,weak_rejection,"E166 loses no worse than E101. The broad branch is not public-positive, but the failure is still frontier-scale.","Do not rescue by scaling. Compare loss cells to E72-active and low-veto-null warnings, then choose E154 or new representation search.",conditional:e166_loss_cell_attribution_then_e154_or_search,Do not submit E169/E172/E174/E176 same-family broad repairs as automatic rescue.,E167 safety-divergence warning,E166 as next expected-score file
mixmin_safe_loss,9.036200000034356e-06,1.5310700000048527e-05,0.576300366,0.5763066405,False,False,False,True,rejection,E166 loses more than E101 but remains mixmin-safe. The broad survivor direction likely conflicts with the hidden public support tail.,Route away from broad survivor as an expected-score lane. Use E154 for conservative branch test or E224 for the distinct JEPA test.,conditional:e154_or_e224_by_question,Do not scale E166 or revive E176-like broad siblings.,public-tail/support mismatch on broad survivor,safety-atlas-overconservative world
broad_branch_loss,1.5310700000048527e-05,2.0501200000078157e-05,0.5763066405,0.576311831,False,False,False,False,strong_rejection,E166 gives back the E95-over-mixmin gain but is not worse than E176. This is the broad-family branch-loss band.,Treat E166 like E176: broad survivor body is public-misaligned at frontier resolution. Route to E154 or a non-collinear representation.,analysis_outputs/submission_e154_s3repair_9f2e2e73.csv,Do not submit E169/E172/E174/E176 as rescue variants.,broad-family public mismatch,raw broad survivor branch
broad_fail,2.0501200000078157e-05,5e-05,0.576311831,0.5763413298,False,False,False,False,hard_rejection,E166 is worse than E176 but not in E72-scale failure. The broad survivor safety divergence is likely public-negative.,Close E166-family expected-score followups. Use E154 if testing existing files; otherwise search for a new block/sequence target.,analysis_outputs/submission_e154_s3repair_9f2e2e73.csv,Do not interpret this as a reason to tune E166 amplitude; the branch itself failed.,E167 E72-active / low-veto-null warning,E166 broad survivor hidden-world claim
e72_like_fail,5e-05,0.0001164474000000526,0.5763413298,0.5764077772,False,False,False,False,very_hard_rejection,E166 fails on the path toward the known E72 miss scale. The E72-active warning in E167 was probably causal.,Run an E166 miss anatomy before any broad candidate. Treat E72-active broad survivor structure as public-dangerous.,conditional:e166_public_miss_anatomy,Do not submit any broad survivor sibling first.,E72-active hidden-tail veto,context-real means public-safe
s2_jepa_like_fail_or_worse,0.0001164474000000526,inf,0.5764077772,inf,False,False,False,False,collapse,E166 fails worse than E72-scale public miss. A broad hidden-context signal can be catastrophically miscalibrated under public labels.,Do a root-cause miss anatomy and stop broad survivor submissions until a public-tail target is rebuilt.,conditional:e166_public_miss_anatomy,Do not use E166/E169/E176 as probability translators.,LeJEPA shortcut/collapse warning,broad survivor probability movement
